Serial,Name,Fl,Birth,Death,Inventory,ScienceField,Index,Duplicate,BirthCountry,WorkCountry,Ethnicity,Woman,No. of Inventories
20837,"Eakins, Thomas",1884,1844,1916,Art.West,,6.56,0,USA,USA,USA,0,
2454,"Eastman, George",1894,1854,1932,Science,Tech,15.16,0,USA,USA,USA,0,
40708,"Eberlin, Johann",1805,1765,1807,Music.West,,1.00,0,Germany,Austria,Germanic,0,
2460,"Eberth, Karl ",1875,1835,1926,Science,Biol,6.80,0,Germany,Germany,Germanic,0,
11375,"Eça de Queiros, Jose",1885,1845,1900,Lit.West,,7.09,0,Portugal,Portugal,Portuguese,0,
40711,"Eccard, Johannes",1593,1553,1611,Music.West,,1.19,0,Germany,Germany,Germanic,0,
11376,"Echegaray y Eizaguirre, Jose",1873,1833,1916,Lit.West,,3.16,0,Spain,Spain,Basque,0,
11379,"Eckhart, Johannes",1300,1260,1327,Lit.West,,2.99,1,Germany,Germany,Germanic,0,2
30539,"Eckhart, Johannes",1300,1260,1327,Phil.West,,2.68,1,Germany,Germany,Germanic,0,2
2467,"Eddington, Arthur",1922,1882,1944,Science,Astr,36.91,0,Britain,Britain,English,0,
2476,"Edison, Thomas",1887,1847,1931,Science,Tech,99.43,0,USA,USA,USA,0,
2478,"Edlefsen, Nils",1933,1893,1971,Science,Phys,7.99,0,USA,USA,USA,0,
2488,"Egas Moniz, Antonio  ",1914,1874,1955,Science,Biol,7.71,0,Portugal,Portugal,Portuguese,0,
11391,"Ehrenberg, Ilya",1931,1891,1967,Lit.West,,5.00,0,Russia,Russia,Jewish,0,
2498,"Ehrlich, Paul",1894,1854,1915,Science,Medi,59.26,0,Germany,Germany,Jewish,0,
11393,"Eich, Günter",1947,1907,1972,Lit.West,,1.39,0,Germany,Germany,Germanic,0,
11394,"Eichendorff, Joseph von",1828,1788,1857,Lit.West,,6.47,0,Germany,Germany,Germanic,0,
2502,"Eiffel, Alexandre",1872,1832,1923,Science,Tech,5.55,0,France,France,French,0,
2505,"Eijkman, Christiaan",1898,1858,1930,Science,Medi,18.02,0,Netherlands,Netherlands,Dutch,0,
